Actual Item Code,Item Name,Corrected Name,Sub-Category,Category,Category for Incentive,Veg/Non veg,Chicken/Mutton,Value Offering Cat,Value Offering Sub-Cat,Innovation,Innovation Sub-cat,Unique,Combos to be excl for Item count report,ad
1VJD0052,Chilli Prawns,Chilli Prawns,Starters,Chinese,Chinese,Non-Veg,Prawns,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1VJD0061,Babycorn Manchuria,Babycorn Manchuria,Starters,Chinese,Chinese,Veg,Other,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1VJD0062,Chilli Paneer,Chilli Paneer,Starters,Chinese,Chinese,Veg,Other,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1VJD0065,Gobi Manchurian,Gobi Manchurian,Starters,Chinese,Chinese,Veg,Other,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1VJD0066,Paneer 65,Paneer 65,Starters,Chinese,Chinese,Veg,Other,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1VJD0103,Fish Curry,Fish Curry,Currys,Indian,Indian,Non-Veg,Fish,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1VJD0133,Chicken Tikka Kebab (Half),Chicken Tikka Kebab (Half),Kebabs,Kebabs,Excluded,Non-Veg,Chicken,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1VJD0134,Lal Mirchi Murgh Tikka Kebab,Lal Mirchi Murgh Tikka Kebab,Kebabs,Kebabs,Kebabs,Non-Veg,Chicken,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1VJD0135,Morraccan Chicken Kebab,Morraccan Chicken Kebab,Kebabs,Kebabs,Kebabs,Non-Veg,Chicken,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1VJD0158,Garlic Naan,Garlic Naan,Breads,Indian,Indian,Veg,Other,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1VJD0159,Panner Paratha,Panner Paratha,Breads,Indian,Indian,Veg,Other,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1VJD0160,Plain Naan,Plain Naan,Breads,Indian,Indian,Veg,Other,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1VJD0162,Pudina Paratha,Pudina Paratha,Breads,Indian,Indian,Veg,Other,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1VJT0052,Chilli Prawns,Chilli Prawns,Starters,Chinese,Chinese,Non-Veg,Prawns,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1VJT0061,Babycorn Manchuria,Babycorn Manchuria,Starters,Chinese,Chinese,Veg,Other,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1VJT0094,Egg Masala,Egg Masala,Currys,Indian,Indian,Non-Veg,Egg,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1VJT0160,Plain Naan,Plain Naan,Breads,Indian,Indian,Veg,Other,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1VJT0163,Rumali Roti,Rumali Roti,Breads,Indian,Indian,Veg,Other,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1VJT0176,Tea,Tea,Tea,Beverages,Excluded,Beverages,Other,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1HBT0216,Royal Chicken Biryani (I&M),Royal Chicken Biryani,Royal,Biryani,Biryani,Non-Veg,Chicken,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2BV10112,COKE 330 ML CAN,COKE 330 ML CAN,Soft Drinks,Beverages,Excluded,Beverages,Other,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1HBT0217,Royal Mutton Biryani (I&M,Royal Mutton Biryani,Royal,Biryani,Biryani,Non-Veg,Mutton,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1KOT0200,Mutton Curry ,Mutton Curry,Currys,Indian,Indian,Non-Veg,Mutton,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1KOD0200,Mutton Curry ,Mutton Curry,Currys,Indian,Indian,Non-Veg,Mutton,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2BV10075,Fanta PET 2.25 LT,Fanta PET 2.25 LT,Soft Drinks,Beverages,Excluded,Beverages,Other,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2BV10077,Fanta PET 750 ML,Fanta PET 750 ML,Soft Drinks,Beverages,Excluded,Beverages,Other,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10000042,Small Fruit Cake Box 250Gm,Small Fruit Cake Box 250Gm,Cakes & Pastry,Bakery,Bakery,Desserts,Other,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10000068,Special Round Cake Packet,Special Round Cake Packet,Cakes & Pastry,Bakery,Bakery,Desserts,Other,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10000083,Butter Scotch Cake 2 Kg,Butter Scotch Cake 2 Kg,Cakes & Pastry,Bakery,Bakery,Desserts,Other,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10000130,Kaju Kishmish Ice Cream 4 Ltr,Kaju Kishmish Ice Cream 4 Ltr,Ice Cream,Desserts,Desserts,Desserts,Other,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10000140,Strawbery 1000 Ml,Strawbery 1000 Ml,Ice Cream,Desserts,Desserts,Desserts,Other,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1BLD0027,Mirchi Ka Salan,Mirchi Ka Salan,Salan & Raitha,Accompaniments,Biryani,Veg,Other,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1BLD0033,Papad Roasted,Papad Roasted,Salad & Papad,Accompaniments,Biryani,Veg,Other,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1BLD0035,Plain Curd,Plain Curd,Curd,Accompaniments,Biryani,Veg,Other,NULL,NULL,Other Launch,FSR Menu Extension,NULL,NULL,NULL
1BLD0126,Chicken Kalmi Kebab (Half),Chicken Kalmi Kebab (Half),Kebabs,Kebabs,Excluded,Non-Veg,Chicken,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1BLD0134,Lal Mirchi Murgh Tikka Kebab,Lal Mirchi Murgh Tikka Kebab,Kebabs,Kebabs,Kebabs,Non-Veg,Chicken,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1BLD0135,Morraccan Chicken Kebab,Morraccan Chicken Kebab,Kebabs,Kebabs,Kebabs,Non-Veg,Chicken,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1BLT0167,Gajar ka Halwa,Gajar ka Halwa,DKM/KKM/GKH,Desserts,Desserts,Desserts,Other,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1CHD0021,Biryani Raita,Biryani Raita,Salan & Raitha,Accompaniments,Biryani,Veg,Other,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1CHD0027,Mirchi Ka Salan,Mirchi Ka Salan,Salan & Raitha,Accompaniments,Biryani,Veg,Other,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1CHD0030,Onion Salad,Onion Salad,Salad & Papad,Accompaniments,Biryani,Veg,Other,NULL,NULL,Other Launch,FSR Menu Extension,NULL,NULL,NULL
1GGD0027,Mirchi Ka Salan,Mirchi Ka Salan,Salan & Raitha,Accompaniments,Biryani,Veg,Other,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1HBD0022,Cucumber Raita,Cucumber Raita,Salan & Raitha,Accompaniments,Biryani,Veg,Other,NULL,NULL,Other Launch,FSR Menu Extension,NULL,NULL,NULL
1HBD0025,Fruit Salad,Fruit Salad,Salad & Papad,Accompaniments,Biryani,Veg,Other,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1HBD0027,Mirchi Ka Salan,Mirchi Ka Salan,Salan & Raitha,Accompaniments,Biryani,Veg,Other,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1HBD0028,Mixed Raita,Mixed Raita,Salan & Raitha,Accompaniments,Biryani,Veg,Other,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1HBD0031,Papad Fried,Papad Fried,Salad & Papad,Accompaniments,Biryani,Veg,Other,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1HBD0032,Papad Masala,Papad Masala,Salad & Papad,Accompaniments,Biryani,Veg,Other,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1HBD0034,Pineapple Raita,Pineapple Raita,Salan & Raitha,Accompaniments,Biryani,Veg,Other,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1HBD0035,Plain Curd,Plain Curd,Curd,Accompaniments,Biryani,Veg,Other,NULL,NULL,Other Launch,FSR Menu Extension,NULL,NULL,NULL
1HBD0068,Vegetable Fried Rice,Vegetable Fried Rice,Fried Rice,Chinese,Chinese,Veg,Other,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1HBD0085,Chicken Masala,Chicken Masala,Currys,Indian,Indian,Non-Veg,Chicken,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1HBD0100,Mutton Masala,Mutton Masala,Currys,Indian,Indian,Non-Veg,Mutton,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1HBD0109,Kadai Gosht,Kadai Gosht,Currys,Indian,Indian,Non-Veg,Chicken,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1HBD0115,Nizami Handi,Nizami Handi,Currys,Indian,Indian,Non-Veg,Chicken,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1HBD0162,Pudina Paratha,Pudina Paratha,Breads,Indian,Indian,Veg,Other,NULL,NULL,Other Launch,FSR Menu Extension,NULL,NULL,NULL
1HBT0026,Green Salad,Green Salad,Salad & Papad,Accompaniments,Biryani,Veg,Other,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1HBT0061,Babycorn Manchuria,Babycorn Manchuria,Starters,Chinese,Chinese,Veg,Other,NULL,NULL,Other Launch,TA to Del,NULL,NULL,NULL
1HBT0085,Chicken Masala,Chicken Masala,Currys,Indian,Indian,Non-Veg,Chicken,NULL,NULL,Other Launch,TA to Del,NULL,NULL,NULL
1HBT0115,Nizami Handi,Nizami Handi,Currys,Indian,Indian,Non-Veg,Chicken,NULL,NULL,Other Launch,TA to Del,NULL,NULL,NULL
1HBT0116,Palak Paneer,Palak Paneer,Currys,Indian,Indian,Veg,Other,NULL,NULL,Other Launch,TA to Del,NULL,NULL,NULL
1KOD0008,Egg  Biryani,Egg Biryani,Regular,Biryani,Biryani,Non-Veg,Egg,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1KOD0021,Biryani Raita,Biryani Raita,Salan & Raitha,Accompaniments,Biryani,Veg,Other,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1KOD0027,Mirchi Ka Salan,Mirchi Ka Salan,Salan & Raitha,Accompaniments,Biryani,Veg,Other,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1KOD0083,Chicken Curry,Chicken Curry,Currys,Indian,Indian,Non-Veg,Chicken,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1KOT0083,Chicken Curry,Chicken Curry,Currys,Indian,Indian,Non-Veg,Chicken,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1VJD0021,Biryani Raita,Biryani Raita,Salan & Raitha,Accompaniments,Biryani,Veg,Other,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1VJD0022,Cucumber Raita,Cucumber Raita,Salan & Raitha,Accompaniments,Biryani,Veg,Other,NULL,NULL,Other Launch,FSR Menu Extension,NULL,NULL,NULL
1VJD0027,Mirchi Ka Salan,Mirchi Ka Salan,Salan & Raitha,Accompaniments,Biryani,Veg,Other,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1VJD0094,Egg Masala,Egg Masala,Currys,Indian,Indian,Non-Veg,Egg,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1VJD0105,Prawns Masala,Prawns Masala,Currys,Indian,Indian,Non-Veg,Prawns,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1VJD0171,Khubani Ka Metha Wit Ice Crem,KKM with Ice Cream,DKM/KKM/GKH,Desserts,Desserts,Desserts,Other,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1VJD0179,Sprite Fountain ,Sprite Fountain 300 Ml,Soft Drinks,Beverages,Beverages,Beverages,Other,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1VJT0081,Butter Chicken Boneless,Butter Chicken Boneless,Currys,Indian,Indian,Non-Veg,Chicken,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1VJT0085,Chicken Masala,Chicken Masala,Currys,Indian,Indian,Non-Veg,Chicken,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1VJT0088,Kadai Chicken,Kadai Chicken,Currys,Indian,Indian,Non-Veg,Chicken,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1VJT0090,Paradise Special Chicken,Paradise Special Chicken,Currys,Indian,Indian,Non-Veg,Chicken,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1VJT0105,Prawns Masala,Prawns Masala,Currys,Indian,Indian,Non-Veg,Prawns,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1VJT0184,Vegetable Samosa,Vegetable Samosa,Samosa,Bakery,Bakery,Veg,Other,NULL,NULL,Other Launch,Bakery Extension,NULL,NULL,NULL
1VJT0185,Mutton Samosa,Mutton Samosa,Samosa,Bakery,Bakery,Non-Veg,Mutton,NULL,NULL,Other Launch,Bakery Extension,NULL,NULL,NULL
2FZ10008,Butter Scotch 500 Ml,Butter Scotch 500 Ml,Ice Cream,Desserts,Desserts,Desserts,Other,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2FZ10011,Butter Scotch Jr Cone 50 Ml,Butter Scotch Jr Cone 50 Ml,Ice Cream,Desserts,Desserts,Desserts,Other,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2FZ10029,Pot Kulfi,Pot Kulfi,Ice Cream,Desserts,Desserts,Desserts,Other,NULL,NULL,Other Launch,FSR Menu Extension,NULL,NULL,NULL
1HBT0218,Butter Chicken ,Butter Chicken,Currys,Indian,Indian,Non-Veg,Chicken,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1HBD0218,Butter Chicken ,Butter Chicken,Currys,Indian,Indian,Non-Veg,Chicken,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1HBD0221,Tandoor roti ( BIG ROTI ),Tandoor roti ( BIG ROTI ),Breads,Indian,Indian,Veg,Other,NULL,NULL,NULL,NULL,NULL,NULL,NULL
7PK10258,Plastic Cont-Tamp.Prof.750 ml Royal Chkn & Mutn,Plastic Cont-Tamp.Prof.750 ml Royal Chkn & Mutn,Other,Packaging,Packaging,Packaging,Packaging,NULL,NULL,NULL,NULL,NULL,Yes,NULL
1HBD0220,Mutton Paya ,Mutton Paya,Currys,Indian,Indian,Non-Veg,Mutton,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10000104,Osmania Small Biscuit (2Pcs),Osmania Small Biscuit (2Pcs),Biscuits,Bakery,Bakery,Veg,Other,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1HBT0220,Mutton Paya ,Mutton Paya,Currys,Indian,Indian,Non-Veg,Mutton,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10000057,Jo Jo Choclate Cake 1 Kg,Jo Jo Choclate Cake 1 Kg,Cakes & Pastry,Bakery,Bakery,Veg,Other,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10000066,Round Cake,Round Cake,Cakes & Pastry,Bakery,Bakery,Veg,Other,NULL,NULL,Other Launch,Bakery Extension,NULL,NULL,NULL
10000072,Chocolate Doughnut,Chocolate Doughnut,Other,Bakery,Bakery,Veg,Other,NULL,NULL,NULL,Bakery Delivery,NULL,NULL,NULL
1BLD0026,Green Salad,Green Salad,Salad & Papad,Accompaniments,Biryani,Veg,Other,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1BLT0098,Kheema Masala,Kheema Masala,Currys,Indian,Indian,Non-Veg,Mutton,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1HB00190,Fresh Lime Soda,Fresh Lime Soda,Soda,Beverages,Beverages,Beverages,Other,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1HBD0107,Dal Fry,Dal Fry,Currys,Indian,Indian,Veg,Other,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1HBD0108,Dal Makhani,Dal Makhani,Currys,Indian,Indian,Veg,Other,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1HBD0127,Chicken Kebab Platter,Chicken Kebab Platter,Platter,Kebabs,Kebabs,Non-Veg,Mix,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1HBD0167,Gajar ka Halwa,Gajar ka Halwa,DKM/KKM/GKH,Desserts,Desserts,Desserts,Other,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1HBT0083,Chicken Curry,Chicken Curry,Currys,Indian,Indian,Non-Veg,Chicken,NULL,NULL,Other Launch,TA to Del,NULL,NULL,NULL
1HBT0088,Kadai Chicken,Kadai Chicken,Currys,Indian,Indian,Non-Veg,Chicken,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1KOT0021,Biryani Raita,Biryani Raita,Salan & Raitha,Accompaniments,Biryani,Veg,Other,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1KOT0027,Mirchi Ka Salan,Mirchi Ka Salan,Salan & Raitha,Accompaniments,Biryani,Veg,Other,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1VJD0081,Butter Chicken Boneless,Butter Chicken Boneless,Currys,Indian,Indian,Non-Veg,Chicken,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1HBD0139,Mutton Sheek Kebab,Mutton Sheek Kebab,Kebabs,Kebabs,Kebabs,Non-Veg,Mutton,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1HBD0147,Hot - N -Sour Chicken Soup,Hot - N -Sour Chicken Soup,Soups,Chinese,Chinese,Non-Veg,Chicken,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1HBD0101,Mutton Rogan Josh,Mutton Rogan Josh,Currys,Indian,Indian,Non-Veg,Mutton,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1HBD0141,Fish Tikka Kebab,Fish Tikka Kebab,Kebabs,Kebabs,Kebabs,Non-Veg,Fish,NULL,NULL,Innovation,Jashn-e-Kebab 2023,NULL,NULL,NULL
1HBD0148,Sweet Corn Chicken Soup,Sweet Corn Chicken Soup,Soups,Chinese,Chinese,Non-Veg,Chicken,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1HBD0151,Sweet Corn Vegetable Soup,Sweet Corn Vegetable Soup,Soups,Chinese,Chinese,Veg,Other,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1HBD0146,Chicken Manchow Soup,Chicken Manchow Soup,Soups,Chinese,Chinese,Non-Veg,Chicken,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1HBD0150,Hot - N -Sour Vegetable Soup,Hot - N -Sour Vegetable Soup,Soups,Chinese,Chinese,Veg,Other,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1HBD0063,Crispy Corn Chilli Pepper,Crispy Corn Chilli Pepper,Starters,Chinese,Chinese,Veg,Other,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1HBD0116,Palak Paneer,Palak Paneer,Currys,Indian,Indian,Veg,Other,NULL,NULL,Other Launch,FSR Menu Extension,NULL,NULL,NULL
1HBD0072,Vegetables Spring Roll,Veg Spring Roll,Starters,Chinese,Chinese,Veg,Other,NULL,NULL,Other Launch,FSR Menu Extension,NULL,NULL,NULL
1HBT0100,Mutton Masala,Mutton Masala,Currys,Indian,Indian,Non-Veg,Mutton,NULL,NULL,Other Launch,TA to Del,NULL,NULL,NULL
1HBT0101,Mutton Rogan Josh,Mutton Rogan Josh,Currys,Indian,Indian,Non-Veg,Mutton,NULL,NULL,Other Launch,TA to Del,NULL,NULL,NULL
1HBD0061,Babycorn Manchuria,Babycorn Manchuria,Starters,Chinese,Chinese,Veg,Other,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1HBD0152,Vegetable Manchow Soup,Vegetable Manchow Soup,Soups,Chinese,Chinese,Veg,Other,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1HBD0042,Chicken Spring Roll,Chicken Spring Roll,Starters,Chinese,Chinese,Non-Veg,Chicken,NULL,NULL,Other Launch,FSR Menu Extension,NULL,NULL,NULL
1HBD0046,Egg Fried Rice,Egg Fried Rice,Fried Rice,Chinese,Chinese,Non-Veg,Egg,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1HBD0060,Babycorn Hot `N ` Pepper,Babycorn Hot `N ` Pepper,Starters,Chinese,Chinese,Veg,Other,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1HBD0089,Murg Masalam,Murg Masalam,Currys,Indian,Indian,Non-Veg,Chicken,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1HBD0038,Chicken Fried Rice,Chicken Fried Rice,Fried Rice,Chinese,Chinese,Non-Veg,Chicken,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1GGT0221,Mini Chicken Biryani,Mini Chicken Biryani,Mini Biryani,Biryani,Biryani,Non-Veg,Chicken,Value Offering,Entry ADT,Other Launch,Mini Biryani,NULL,NULL,NULL
1HBD0113,Methi Chaman,Methi Chaman,Currys,Indian,Indian,Veg,Other,NULL,NULL,Other Launch,FSR Menu Extension,NULL,NULL,NULL
1HBD0083,Chicken Curry,Chicken Curry,Currys,Indian,Indian,Non-Veg,Chicken,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1HBD0048,Egg Spring Roll,Egg Spring Roll,Starters,Chinese,Chinese,Non-Veg,Egg,NULL,NULL,Other Launch,FSR Menu Extension,NULL,NULL,NULL
1HBT0102,Paradise Special Mutton,Paradise Special Mutton,Currys,Indian,Indian,Non-Veg,Mutton,NULL,NULL,Other Launch,TA to Del,NULL,NULL,NULL
1HBD0090,Paradise Special Chicken,Paradise Special Chicken,Currys,Indian,Indian,Non-Veg,Chicken,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1HBD0155,Aloo Paratha,Aloo Paratha,Breads,Indian,Indian,Veg,Other,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1KO00190,Fresh Lime Soda,Fresh Lime Soda,Soda,Beverages,Beverages,Beverages,Other,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1HBD0149,Cream Of Tomato Soup,Tomato Soup,Soups,Chinese,Chinese,Veg,Other,NULL,NULL,Other Launch,FSR Menu Extension,NULL,NULL,NULL
1BLD0098,Kheema Masala,Kheema Masala,Currys,Indian,Indian,Non-Veg,Mutton,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1HBD0102,Paradise Special Mutton,Paradise Special Mutton,Currys,Indian,Indian,Non-Veg,Mutton,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1HBD0003,Royal Chicken Biryani,Royal Chicken Biryani,Royal,Biryani,Biryani,Non-Veg,Chicken,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1HBD0033,Papad Roasted,Papad Roasted,Salad & Papad,Accompaniments,Biryani,Veg,Other,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1BLT0111,Kadai Vegetable,Kadai Vegetable,Currys,Indian,Indian,Veg,Other,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10000065,Rum Ball,Rum Ball,Other,Bakery,Bakery,Veg,Other,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1HBT0109,Kadai Gosht,Kadai Gosht,Currys,Indian,Indian,Non-Veg,Mutton,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1HBD0175,Vanilla Wit Hot Chocolat Sauce,Vanilla Wit Hot Chocolat Sauce,Ice Cream,Desserts,Desserts,Desserts,Other,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1BLD0107,Dal Fry,Dal Fry,Currys,Indian,Indian,Veg,Other,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1HBD0181,Sweet Lime Juice,Sweet Lime Juice,Juices,Beverages,Beverages,Beverages,Other,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1BLD0090,Paradise Special Chicken,Paradise Special Chicken,Currys,Indian,Indian,Non-Veg,Chicken,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1BLD0091,Tandoori Chicken Masala,Tandoori Chicken Masala,Currys,Indian,Indian,Non-Veg,Chicken,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1BLD0108,Dal Makhani,Dal Makhani,Currys,Indian,Indian,Veg,Other,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10000055,Special Jo Jo Choc Pastry,Special Jo Jo Choc Pastry,Cakes & Pastry,Bakery,Bakery,Veg,Other,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10000030,Black Forest Pastry,Black Forest Pastry,Cakes & Pastry,Bakery,Bakery,Veg,Other,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1HBDIC001,Paradise Chicken Treat,Family Treat,Family Treat,Combos,Combos,Non-Veg,Chicken,Value Offering,Abundant,NULL,NULL,NULL,NULL,NULL
1HBDIC002,Paradise Chicken Feast,Paradise Chicken Feast,Family Feast,Combos,Biryani,Non-Veg,Chicken,Value Offering,Sharing Combos,NULL,NULL,NULL,NULL,NULL
1HBDIC003,Paradise Chicken Feast 2,Paradise Chicken Feast 2,Family Feast,Combos,Biryani,Non-Veg,Chicken,Value Offering,Sharing Combos,NULL,NULL,NULL,NULL,NULL
1CHD0267,Chennai Special Chicken Biryani,Chennai Special Chicken Biryani,Spl Biryani,Biryani,Biryani,Non-Veg,Chicken,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1KOUP001,Royal Chicken Biryani + Royal Chicken Biryani,Royal Chicken Biryani + Royal Chicken Biryani,Combo Packs,Biryani,Biryani,Non-Veg,Chicken,Value Offering,Sharing Combos,NULL,NULL,NULL,NULL,NULL
1KOUP005,Royal Chk Biryani with Chettinadu Kebab,Royal Chk Biryani with Chettinadu Kebab,Combo Packs,Biryani,Biryani,Non-Veg,Chicken,Value Offering,Sharing Combos,NULL,NULL,NULL,NULL,NULL
1KOUP006,Royal Chk Biryani with Chk Garlic Kebab,Royal Chk Biryani with Chk Garlic Kebab,Combo Packs,Biryani,Biryani,Non-Veg,Chicken,Value Offering,Sharing Combos,NULL,NULL,NULL,NULL,NULL
1KOUP007,Royal Chk Biryani with Chk Reshmi Kebab,Royal Chk Biryani with Chk Reshmi Kebab,Combo Packs,Biryani,Biryani,Non-Veg,Chicken,Value Offering,Sharing Combos,NULL,NULL,NULL,NULL,NULL
1KOUP008,Royal Chk Biryani with Chk Tikka Kebab,Royal Chk Biryani with Chk Tikka Kebab,Combo Packs,Biryani,Biryani,Non-Veg,Chicken,Value Offering,Sharing Combos,NULL,NULL,NULL,NULL,NULL
1KOUP009,Free Double Ka Meetha with Royal Chicken Biryani,Free Double Ka Meetha with Royal Chicken Biryani,Combo Packs,Biryani,Biryani,Non-Veg,Chicken,Value Offering,Sharing Combos,NULL,NULL,NULL,NULL,NULL
1KOUP011,Royal Chicken Biryani with Coke 330ml Free,Royal Chicken Biryani with Coke 330ml Free,Combo Packs,Biryani,Biryani,Non-Veg,Chicken,Value Offering,Sharing Combos,NULL,NULL,NULL,NULL,NULL
1KOUP010,Free Double Ka Meetha with Royal Mutton Biryani,Free Double Ka Meetha with Royal Mutton Biryani,Combo Packs,Biryani,Biryani,Non-Veg,Mutton,Value Offering,Sharing Combos,NULL,NULL,NULL,NULL,NULL
1KOUP012,Royal Mutton Biryani with Coke 330ml Free,Royal Mutton Biryani with Coke 330ml Free,Combo Packs,Biryani,Biryani,Non-Veg,Mutton,Value Offering,Sharing Combos,NULL,NULL,NULL,NULL,NULL
1KOUP004,Egg Biryani + Egg Biryani,Egg Biryani + Egg Biryani,Combo Packs,Biryani,Biryani,Non-Veg,Egg,Value Offering,Sharing Combos,NULL,NULL,NULL,NULL,NULL
1KOT0214,Haleem,Mutton Haleem,Haleem,Haleem,Haleem,Non-Veg,Mutton,NULL,NULL,Innovation,Haleem,NULL,NULL,NULL
